ident,latitude,longitude
DETOM,-22.75206389,-43.13083333
IT016,-18.30681389,-49.36808056
ROPEP,-6.149992472,-50.27593658
SC006,-22.8755,-43.69133333
PCL03,-21.83648333,-46.56359167
URUTA,-23.55793611,-46.70399167
MA011,-5.256333333,-49.00216667
TCA86,-22.7025,-47.5691
VT067,-20.04452778,-40.24111667
ES018,-22.96494444,-42.25127222
AX366,-19.65083333,-46.74833333
PAMEN,-5.967983333,-53.5442
SIDIT,-32.40964444,-52.68363889
ALGAN,-20.93456389,-54.90226944
BURPI,-29.26333333,-51.11433333
BUXUK,-23.76390833,-47.81586944
ARUSI,6.416666667,-37.33333333
GIMPI,-22.74714094,-43.81990411
SV027,-12.87213056,-38.14114722
DOVDA,-22.91491389,-43.329275
KP106,-23.17728611,-47.0748
EPGOK,-22.06566389,-51.63541944
ATERU,-19.35188889,-56.98555556
GU004,-25.540125,-51.65348056
UTRAM,-3.271666667,-32.12111111
BAIAN,-23.66887222,-46.12841667
BE392,-1.462,-48.694
ILNER,3.871166667,-60.77933333
OPTUR,-9.229397222,-36.64926667
FS017,-22.06966667,-41.01245833
ILPIV,-29.78966667,-51.83083333
BQ001,-21.19616667,-43.78516667
ISKAB,-3.316666667,-44.44083333
EVNES,-22.63618056,-50.09044444
GRD09,-20.60041667,-54.68160278
GNV04,-16.65967222,-49.16431111
RPR13,-21.12720278,-47.77838889
OPLEV,-19.758,-42.126
ILVAK,-19.76395556,-43.83650278
TCA79,-23.5485,-46.8231
APURU,-1.0925,-50.871
ASBUP,-21.84923386,-45.83900721
BW011,-15.75126111,-52.249025
UBREG,-29.72706111,-50.72348611
KP153,-23.37256111,-46.07986944
BQ009,-21.26074167,-43.76600278
SUBVI,-3.106444444,-41.77377778
VT062,-20.20005278,-40.24863889
CZS01,-7.604266667,-72.78129167
ITADA,-21.87291944,-47.18771944
BIVUB,-27.43090556,-52.57601111
ANKAG,-26.95536389,-49.86425278
GR047,-23.26994722,-46.43300833
PAGEK,-3.038188889,-60.22845
RJ909,-22.97620556,-43.10864722
TENID,-15.3705,-56.7365
MONGU,-22.17816667,-40.862
OPLOS,-22.89736944,-43.00651389
JA001,-28.89277778,-49.22521389
SIRED,-5.318111111,-34.93311111
NF147,-27.37427222,-49.66859722
MINUG,-4.023141667,-59.02783056
RJ317,-22.90718056,-43.32180278
LO203,-23.28278611,-51.20301944
FAVOR,-4.073,-55.365
ACNEL,-20.18002778,-40.23555556
OPKEB,-25.06729167,-49.58759167
UPORA,-1.500475,-48.59849722
CH032,-27.19234661,-52.91732156
SIMUT,-8.687461111,-35.33869444
VT014,-20.47761111,-40.43166667
ANKIS,-26.28951667,-48.70741667
UPUKA,-3.303144444,-64.77178889
PV389,-8.648333333,-63.906
IMBES,-14.19916667,-45.02083333
UGEDU,-22.5975,-39.7355
SAPRU,-14.99627778,-46.70927778
UTNAV,-2.659722222,-59.57305556
SMA03,-29.7072,-53.76543611
AQ007,-21.77418883,-48.15799603
YS017,-21.91634661,-47.55654836
GR259,-22.54413333,-46.24829722
